timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1608485927371,543,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-49,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,542,0,0
1608485924468,3557,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-14,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3299,0,1
1608485924468,3299,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-14,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3299,0,1
1608485927767,258,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-14,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,257,0,0
1608485924798,3304,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-29,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3053,0,1
1608485924798,3053,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-29,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3053,0,1
1608485927851,251,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-29,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,250,0,0
1608485924368,3821,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-35,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3158,0,1
1608485924368,3158,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-35,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3158,0,1
1608485927526,663,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-35,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,662,0,0
1608485924835,3366,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-23,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3071,0,1
1608485924835,3071,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-23,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3071,0,1
1608485927906,295,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-23,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,294,0,0
1608485924948,3389,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-7,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3124,0,1
1608485924948,3124,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-7,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3124,0,1
1608485928072,265,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-7,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,264,0,0
1608485924945,3460,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-41,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3129,0,0
1608485924945,3129,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-41,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3129,0,0
1608485928074,331,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-41,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,330,0,0
1608485924555,4045,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3269,0,0
1608485924555,3269,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-30,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3269,0,0
1608485927824,776,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-30,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,775,0,0
1608485925095,3556,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-38,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3131,0,0
1608485925095,3131,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-38,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3131,0,0
1608485928227,424,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-38,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,423,0,0
1608485924971,3720,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-18,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3304,0,1
1608485924971,3304,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-18,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3304,0,1
1608485928275,416,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-18,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,416,0,0
1608485925256,3562,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-17,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3057,0,1
1608485925256,3057,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-17,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3057,0,1
1608485928313,505,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-17,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,504,0,0
1608485925277,3559,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-31,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3167,0,1
1608485925277,3167,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-31,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3167,0,1
1608485928444,392,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-31,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,391,0,0
1608485925369,3479,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-32,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3150,0,1
1608485925369,3150,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-32,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3150,0,1
1608485928519,329,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-32,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,328,0,0
1608485925421,3479,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-33,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3190,0,0
1608485925421,3190,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-33,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3190,0,0
1608485928609,291,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-33,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,290,0,0
1608485925026,3913,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3249,0,0
1608485925026,3249,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-1,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3249,0,0
1608485928275,664,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,663,0,0
1608485925269,3865,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-37,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3399,0,1
1608485925269,3399,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-37,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3399,0,1
1608485928666,468,Get issue-1,200,OK,jp@gc - Ultimate Thread Group 1-37,text,true,,26853,301,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,467,0,0
1608485925741,3653,Get issue,200,OK,jp@gc - Ultimate Thread Group 1-44,text,true,,27513,703,50,50,http://localhost/mantisbt-2.24.2/view.php?id=1,3130,0,1
1608485925741,3130,Get issue-0,302,Found,jp@gc - Ultimate Thread Group 1-44,text,true,,660,402,50,50,http://localhost/mantisbt-2.24.2/jump_to_bug.php,3130,0,1
